Area,Bedrooms,Bathrooms,Floors,Parking,Location,Furnishing,HouseAge,Price
1200,2,1,1,1,Suburban,Unfurnished,10,4500000
1500,3,2,1,2,Urban,Semi-Furnished,5,6800000
2000,4,3,2,2,Urban,Furnished,2,12000000
850,1,1,1,0,Rural,Unfurnished,20,2500000
1800,3,2,2,1,Suburban,Semi-Furnished,8,7500000
2500,4,3,2,2,Urban,Furnished,1,15000000
1100,2,1,1,1,Rural,Unfurnished,15,3200000
3000,5,4,3,3,Urban,Furnished,3,22000000
1600,3,2,1,2,Suburban,Semi-Furnished,6,7200000
950,2,1,1,0,Rural,Unfurnished,12,2800000
2200,4,3,2,2,Urban,Furnished,4,13500000
1350,2,2,1,1,Suburban,Semi-Furnished,9,5500000
1750,3,2,2,1,Urban,Furnished,7,9500000
700,1,1,1,0,Rural,Unfurnished,25,1800000
2800,5,4,3,3,Urban,Furnished,2,19000000
1450,3,2,1,1,Suburban,Semi-Furnished,11,6200000
1900,3,3,2,2,Urban,Semi-Furnished,5,10500000
1050,2,1,1,1,Rural,Unfurnished,18,3000000
2600,4,4,3,2,Urban,Furnished,1,17000000
1300,2,2,1,1,Suburban,Unfurnished,13,4800000
1650,3,2,2,1,Suburban,Furnished,6,8200000
800,1,1,1,0,Rural,Unfurnished,22,2200000
2100,4,3,2,2,Urban,Furnished,3,14000000
1550,3,2,1,2,Urban,Semi-Furnished,8,7800000
2400,4,3,2,3,Urban,Furnished,2,16000000
900,2,1,1,0,Rural,Unfurnished,14,2600000
1700,3,2,2,1,Suburban,Semi-Furnished,7,8000000
3200,5,5,3,4,Urban,Furnished,1,25000000
1250,2,2,1,1,Suburban,Semi-Furnished,10,5200000
2050,4,3,2,2,Urban,Furnished,4,12800000
1400,2,2,1,1,Suburban,Unfurnished,12,5000000
1850,3,3,2,2,Urban,Furnished,5,11000000
750,1,1,1,0,Rural,Unfurnished,20,2000000
2700,5,4,3,3,Urban,Furnished,2,18500000
1500,3,2,1,2,Suburban,Semi-Furnished,9,6500000
1950,3,3,2,2,Urban,Semi-Furnished,6,11500000
1100,2,1,1,1,Rural,Unfurnished,16,3100000
2300,4,3,2,2,Urban,Furnished,3,15500000
1350,2,2,1,1,Suburban,Unfurnished,11,4900000
1700,3,2,2,1,Suburban,Furnished,7,8800000
850,1,1,1,0,Rural,Unfurnished,19,2300000
2150,4,3,2,2,Urban,Furnished,4,13800000
1600,3,2,1,2,Urban,Semi-Furnished,8,7600000
2500,4,4,2,3,Urban,Furnished,2,16500000
950,2,1,1,0,Rural,Unfurnished,13,2700000
1750,3,2,2,1,Suburban,Semi-Furnished,8,7900000
3100,5,5,3,4,Urban,Furnished,1,24000000
1200,2,2,1,1,Suburban,Semi-Furnished,10,5000000
2000,4,3,2,2,Urban,Furnished,4,13200000
1450,2,2,1,1,Suburban,Unfurnished,12,5100000
1900,3,3,2,2,Urban,Furnished,5,11200000
780,1,1,1,0,Rural,Unfurnished,21,2100000
2750,5,4,3,3,Urban,Furnished,2,19500000
1550,3,2,1,2,Suburban,Semi-Furnished,9,6700000
1980,3,3,2,2,Urban,Semi-Furnished,6,11800000
1120,2,1,1,1,Rural,Unfurnished,15,3300000
2350,4,3,2,2,Urban,Furnished,3,15800000
1380,2,2,1,1,Suburban,Unfurnished,11,5100000
1720,3,2,2,1,Suburban,Furnished,7,9000000
870,1,1,1,0,Rural,Unfurnished,18,2400000
2180,4,3,2,2,Urban,Furnished,4,14100000
1620,3,2,1,2,Urban,Semi-Furnished,8,7900000
2520,4,4,2,3,Urban,Furnished,2,16800000
970,2,1,1,0,Rural,Unfurnished,13,2900000
1780,3,2,2,1,Suburban,Semi-Furnished,8,8100000
3150,5,5,3,4,Urban,Furnished,1,24500000
1230,2,2,1,1,Suburban,Semi-Furnished,10,5100000
2020,4,3,2,2,Urban,Furnished,4,13400000
1480,2,2,1,1,Suburban,Unfurnished,12,5200000
1920,3,3,2,2,Urban,Furnished,5,11400000
790,1,1,1,0,Rural,Unfurnished,21,2150000
2780,5,4,3,3,Urban,Furnished,2,19800000
1570,3,2,1,2,Suburban,Semi-Furnished,9,6900000
2010,3,3,2,2,Urban,Semi-Furnished,6,12000000
1140,2,1,1,1,Rural,Unfurnished,15,3400000
2380,4,3,2,2,Urban,Furnished,3,16000000
1400,2,2,1,1,Suburban,Unfurnished,11,5200000
1740,3,2,2,1,Suburban,Furnished,7,9100000
890,1,1,1,0,Rural,Unfurnished,18,2450000
2200,4,3,2,2,Urban,Furnished,4,14300000
1640,3,2,1,2,Urban,Semi-Furnished,8,8000000
2550,4,4,2,3,Urban,Furnished,2,17000000
990,2,1,1,0,Rural,Unfurnished,13,3000000
1800,3,2,2,1,Suburban,Semi-Furnished,8,8200000
3200,5,5,3,4,Urban,Furnished,1,25000000
1250,2,2,1,1,Suburban,Semi-Furnished,10,5200000
2050,4,3,2,2,Urban,Furnished,4,13600000
1500,2,2,1,1,Suburban,Unfurnished,12,5300000
1950,3,3,2,2,Urban,Furnished,5,11600000
800,1,1,1,0,Rural,Unfurnished,21,2200000
2800,5,4,3,3,Urban,Furnished,2,20000000
1590,3,2,1,2,Suburban,Semi-Furnished,9,7000000
2030,3,3,2,2,Urban,Semi-Furnished,6,12200000
1160,2,1,1,1,Rural,Unfurnished,15,3500000
2400,4,3,2,2,Urban,Furnished,3,16200000
1420,2,2,1,1,Suburban,Unfurnished,11,5300000
1760,3,2,2,1,Suburban,Furnished,7,9200000
910,1,1,1,0,Rural,Unfurnished,18,2500000
2220,4,3,2,2,Urban,Furnished,4,14500000
